system:index,ARVI,B11,B12,B2,B3,B4,B5,B6,B7,B8,DVI,GRVI,HH,HV,IRECI,LAI,MTCI,NDVI,REIP,RVI,VH,VV,agbd,random,.geo
202009_078E_024N_703,0.8309422,1297.0,695.0,224.0,560.0,415.0,953.0,2150.0,2461.0,2619.0,2061.0,0.15233415,9917,5448,4476.6553,6.221524,2.6129496,0.7252921,715.4497,6.28046,-15.8333596268701,-10.230814475864861,362.757874,0.7538541114669282,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75825818904673,29.669759004945217]}"
202005_078E_024N_783,0.9127693,1010.0,434.0,82.0,205.0,123.0,407.0,1473.0,1866.0,1921.0,1680.0,0.23018868,6406,3214,5255.2407,7.536421,4.0615387,0.8536163,720.4454,12.662722,-16.300488168285224,-10.122175569174171,185.98204040527344,0.7539129275992905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75161687017619,29.684586128867313]}"
202005_078E_024N_1041,0.8618259,1174.0,555.0,196.0,565.0,335.0,895.0,2307.0,2599.0,2714.0,2357.0,0.26215646,11615,5707,5763.24,6.949318,2.9863281,0.77953255,714.9965,8.071633,-15.081563834061777,-9.415211754649487,220.011948,0.7543185387148612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74952638109686,29.665616115183244]}"
202009_078E_024N_6,0.7451533,1709.0,943.5,345.0,639.5,528.0,1083.0,2105.0,2452.5,2337.0,1583.5,0.026441118,13802,8331,3232.6582,5.064442,2.7224038,0.6095754,716.7295,4.1358523,-14.369505928334545,-6.61679344086518,290.330994,0.7550990440894558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78529369766812,29.720092708875328]}"
202009_078E_024N_9,0.78832996,1018.0,526.5,199.0,414.0,304.5,672.0,1627.0,1744.0,1818.5,1451.0,0.13436022,6004,3115,3173.283,6.284045,3.3675969,0.69262624,718.06177,5.5068107,-17.33188754618319,-11.152867727523597,305.008179,0.7551342800920734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78477956096906,29.719862391453272]}"
202009_078E_024N_718,0.8500528,1126.0,526.0,213.0,494.0,340.0,790.0,2187.0,2491.0,2612.0,2249.0,0.21022068,8374,5848,6005.8237,6.81382,3.5936255,0.7617625,717.619,7.3949842,-17.416088024416613,-12.091451621049154,287.189514,0.7551893884375219,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7569805812213,29.668619030705646]}"
202010_078E_024N_192,0.8187414,1929.5,913.5,381.0,844.0,626.5,1339.0,2929.0,3504.0,3674.5,3159.5,0.15359296,10182,5263,7556.5264,6.3454285,3.4673336,0.71962196,717.62024,6.13359,-15.94990467725174,-9.982576867058116,358.001038,0.7553977963383377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76924924713074,29.72174930266737]}"
202009_078E_024N_422,0.7369197,1865.0,1215.0,357.0,674.0,696.0,1215.0,2221.0,2473.0,2636.0,1860.0,0.016393442,9259,4208,2784.779,4.3053064,2.1344936,0.54812,713.0444,3.425954,-13.989407163408346,-7.364599207286753,348.901825,0.7556254710336157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73869180462924,29.685140495504648]}"
202007_078E_024N_154,0.8783402,1625.5,783.0,190.0,509.0,321.0,898.5,2562.5,3034.0,2949.5,2617.0,0.23172125,6643,3671,7276.7764,7.46323,3.5794923,0.8100707,718.4946,9.538708,-16.634537892238487,-9.587076229337185,275.209412,0.7556716182427158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74165089243242,29.717203493612097]}"
202006_078E_024N_48,0.64831877,1977.0,1293.5,414.0,697.0,832.5,1232.5,1944.0,2169.0,2303.5,1337.5,-0.08504896,10357,5903,1815.094,3.0684147,2.311234,0.41508287,715.32074,2.4193282,-14.970536839201715,-8.685487114333236,210.40625,0.755781288636433,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76225503978964,29.723037677792444]}"
202009_078E_024N_753,0.76510066,1504.0,844.0,289.0,576.0,468.0,954.0,2143.0,2388.0,2500.0,1782.0,0.056526206,6146,4162,3473.7656,5.214471,2.6490386,0.65471774,715.43304,4.7923627,-16.43657305670647,-10.562853884972764,114.047417,0.7559854841420961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75365893567538,29.66565504305329]}"
202005_078E_024N_590,0.90612775,1180.0,555.0,126.0,268.0,178.0,593.0,1729.0,2136.0,2208.0,1914.0,0.22921914,6793,3387,5599.4736,7.6063466,3.7416267,0.85301405,719.3475,12.606742,-15.991421182497731,-10.10407803782241,132.161133,0.7559939157386016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73393152624229,29.693893394717247]}"
202010_078E_024N_551,0.85103244,1560.0,856.0,196.0,409.0,328.0,810.0,1900.0,2223.0,2363.0,2010.0,0.093709886,8325,4884,4186.6313,6.3708262,2.8714652,0.74973106,716.62836,6.991404,-15.806251844376455,-9.492690750105547,237.26766967773438,0.7560393916174752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69933837809558,29.691527848822545]}"
